city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,新東琚,仁德區保生路１０號九樓之１,新東琚,"1,578",115/02/24,35.67,47.14,59.01,,,九層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.39,2.89,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路３６號八樓之５,新東琚,945,114/10/17,35.88,26.34,61.10,,,八層/十五層,住家用,土1 建1車0,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,,,,
台南市,仁德區,新東琚,仁德區保生路３６號九樓之１,新東琚,"1,200",114/09/30,35.86,36.12,59.89,,,九層/十五層,住家用,土1 建1車1,2房2廳1衛,174,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,17.13,1.83,4.01坪,坡道平面,"1,740,000元",7.51坪,地下一樓
台南市,仁德區,新東琚,仁德區保生路３６號九樓之６,新東琚,"1,108",114/06/20,35.47,33.84,61.10,,,九層/十五層,住家用,土1 建1車1,2房2廳1衛,174,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,坡道平面,"1,740,000元",7.51坪,地下一樓
台南市,仁德區,新東琚,仁德區保生路１０號十五樓之２,新東琚,"1,461",114/05/20,32.81,47.04,59.16,,,十五層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.39,2.84,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路３６號九樓之３,新東琚,"1,000",114/04/21,39.16,29.11,61.65,,,九層/十五層,住家用,土1 建1車1,2房2廳1衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,13.32,1.02,3.01坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３８號三樓之５,新東琚,"1,310",114/04/15,33.05,39.63,59.01,,,三層/十五層,住家用,土1 建1車0,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.39,2.89,5.51坪,,,,
台南市,仁德區,新東琚,仁德區保生路２２號九樓之３,新東琚,838,114/02/25,38.79,21.60,61.65,,,九層/十五層,住家用,土1 建1車0,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,13.32,1.02,3.01坪,,,,
台南市,仁德區,新東琚,仁德區保生路３８號八樓之２,新東琚,"1,440",114/01/07,32.28,47.04,59.01,,,八層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.33,2.9,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路２２號十樓之５,新東琚,"1,270",113/12/10,37.51,36.99,62.55,,,十層/十五層,住家用,土1 建1車1,2房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.44,1.11,4.13坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路３８號十四樓之２,新東琚,"1,475",113/11/18,32.91,47.04,59.01,,,十四層/十五層,住家用,土1 建1車1,3房2廳2衛,174,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.33,2.9,5.51坪,坡道平面,"1,740,000元",7.51坪,地下一樓
