city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十二樓之５,東都綠學,"1,725",115/04/15,35.01,54.95,65.95,,2,十二層/十四層,住家用,土1 建1車1,4房2廳2衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,29.8,1.43,8.27坪,坡道平面,"1,430,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號六樓之９,東都綠學,"1,459",115/04/13,35.77,46.41,64.69,,1,六層/十四層,住家用,土1 建1車1,3房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.71,1.59,6.69坪,坡道平面,"1,480,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號八樓之８,東都綠學,950,115/04/11,27.05,35.11,63.95,,1,八層/十四層,住家用,土1 建1車1,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.21,1.26,4.66坪,坡道平面,,9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十一樓之５,東都綠學,"1,285",115/04/10,31.5,46.18,64.66,,1,十一層/十四層,住家用,土1 建1車1,3房2廳2衛,138,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.55,1.59,6.63坪,坡道平面,"1,380,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號十四樓之２,東都綠學,932,115/04/08,31.24,35.02,64.28,,1,十四層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.24,1.2,4.63坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號九樓之１,東都綠學,"1,688",115/04/03,30.61,64.50,65.87,,1,九層/十四層,住家用,土1 建1車2,4房2廳2衛,311,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,車位價格不可拆分,29.63,1.43,8.20坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下二樓；地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號八樓之９,東都綠學,"1,465",115/04/03,36.21,46.06,64.69,,1,八層/十四層,住家用,土1 建1車1,3房2廳2衛,138,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.71,1.59,6.69坪,坡道平面,"1,380,000元",9.41坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十二樓之７,東都綠學,"1,025",115/03/22,34.79,35.11,63.95,,1,十二層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.21,1.26,4.66坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號四樓之３,東都綠學,"1,640",115/03/22,30.47,64.49,65.88,,1,四層/十四層,住家用,土1 建1車2,4房2廳2衛,270,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,車位價格不可拆分,29.63,1.43,8.20坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下二樓；地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號二樓之５,東都綠學,"1,768",115/03/22,32.4,64.36,65.95,,1,二層/十四層,住家用,土1 建1車2,4房2廳2衛,304,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,車位價格不可拆分,29.8,1.43,8.27坪,坡道平面；坡道平面,,9.41坪；9.76坪,地下一樓；地下一樓
