city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,南區,世界好美麗,南區水交社路２０巷２１號六樓,世界好美麗,988,115/04/06,21.88,45.15,64.05,,7,六層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,21.81,1.25,2.94坪；4.34坪,坡道平面,,11.10坪,地下三樓
台南市,南區,世界好美麗,南區水交社路３８號五樓,世界好美麗,"1,330",115/01/18,26.24,50.69,59.87,,7,五層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.93,3.22,3.45坪；5.08坪,坡道平面,,10.72坪,地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷２５號五樓,世界好美麗,"1,550",114/12/11,29.44,63.91,57.91,,7,五層/七層,住家用,土2 建1車2,3房2廳2衛,300,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,24.59,3.16,3.66坪；5.39坪,坡道平面；坡道平面,"1,500,000元；1,500,000元",10.72坪；10.72坪,地下一樓；地下一樓
台南市,南區,世界好美麗,南區水交社路４０號六樓,世界好美麗,"1,350",114/10/28,27.28,49.49,60.52,,7,六層/七層,住家用,土2 建1車1,3房1廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.46,2.53,3.30坪；4.86坪,坡道平面,,10.72坪,地下一樓
台南市,南區,世界好美麗,南區水交社路２８號七樓,世界好美麗,"1,378",114/10/14,31.57,49.28,60.30,,7,七層/七層,住家用,土2 建1車1,3房2廳2衛,150,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,23.46,2.53,3.30坪；4.86坪,坡道平面,"1,500,000元",10.39坪,地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷４５號,世界好美麗,630,114/10/10,22.89,27.52,67.67,,7,一層/七層,住家用,土2 建1車1,1房1廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,11.37,,1.58坪；2.33坪,坡道平面,,10.72坪,地下三樓
台南市,南區,世界好美麗,南區水交社路２６號二樓,世界好美麗,"1,228.4",114/04/02,24.66,49.82,60.01,,6,二層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,,,,,,,
台南市,南區,世界好美麗,南區水交社路４６號,世界好美麗,"1,980",113/12/11,39.05,50.70,68.91,,6,一層/七層,商業用,土2 建1車1,1廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,27.78,,3.45坪；5.08坪,坡道平面,,10.39坪,地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷３號七樓,世界好美麗,800,113/06/01,19.83,40.34,55.42,,6,七層/七層,住家用,土2 建1車1,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,親友、員工、共有人或其他特殊關係間之交易;,16.42,3.22,2.51坪；3.70坪,坡道平面,,10.72坪,地下一樓
台南市,南區,世界好美麗,南區水交社路２０巷３９號三樓,世界好美麗,"1,150",113/05/31,35.02,39.28,61.02,,6,三層/七層,住家用,土2 建1車1,2房1廳1衛,150,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,17.43,2.35,2.59坪；3.81坪,坡道平面,"1,500,000元",10.72坪,地下一樓
