city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,東區,邰欣地堡70,東區仁和路２５７號十樓之２,邰欣地堡70,"1,696",115/03/08,41.03,45.69,58.51,,1,十層/十三層,住家用,土1 建1車1,3房2廳2衛,188,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,21.5,1.85,6.91坪,坡道平面,"1,880,000元",8.93坪,地下一樓
台南市,東區,邰欣地堡70,東區仁和路２５５號二樓之５,邰欣地堡70,"1,224",115/01/31,38,36.46,57.91,,1,二層/十三層,住家用,土1 建1車1,2房2廳2衛,178,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,15.94,1.55,5.17坪,坡道平面,"1,780,000元",8.93坪,地下二樓
台南市,東區,邰欣地堡70,東區仁和路２５５號九樓之３,邰欣地堡70,"1,306",115/01/19,41.68,36.23,58.22,,1,九層/十三層,住家用,土1 建1車1,2房2廳2衛,168,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,15.9,1.44,5.13坪,坡道平面,"1,680,000元",8.93坪,地下三樓
台南市,東區,邰欣地堡70,東區仁和路２５５號九樓之１,邰欣地堡70,"1,734",114/12/05,42.06,45.69,58.51,,1,九層/十三層,住家用,土1 建1車1,3房2廳2衛,188,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,21.5,1.85,6.91坪,坡道平面,"1,880,000元",8.93坪,地下一樓
台南市,東區,邰欣地堡70,東區仁和路２５５號六樓之５,邰欣地堡70,"1,158",114/11/23,35.98,32.19,49.53,,1,六層/十三層,住家用,土1 建1車1,2房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,15.94,1.55,5.17坪,一樓平面,,,一樓
台南市,東區,邰欣地堡70,東區仁和路２５７號二樓之２,邰欣地堡70,"1,561",114/11/22,36.81,47.95,58.51,,1,二層/十三層,住家用,土1 建1車1,3房2廳2衛,208,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,21.5,1.85,6.91坪,坡道平面,"2,080,000元",11.19坪,地下一樓
台南市,東區,邰欣地堡70,東區仁和路２５５號四樓之１,邰欣地堡70,"1,606",114/10/29,38.85,45.69,58.51,,1,四層/十三層,住家用,土1 建1車1,3房2廳2衛,178,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,21.5,1.85,6.91坪,坡道平面,"1,780,000元",8.93坪,地下二樓
台南市,東區,邰欣地堡70,東區仁和路２５５號十一樓之５,邰欣地堡70,"1,445",114/09/22,42.2,39.19,58.79,,1,十一層/十三層,住家用,土1 建1車1,2房2廳2衛,168,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,17.79,1.42,5.68坪,坡道平面,"1,680,000元",8.93坪,地下三樓
台南市,東區,邰欣地堡70,東區仁和路２５５號十二樓之３,邰欣地堡70,"1,356",114/09/18,42.78,36.23,58.22,,1,十二層/十三層,住家用,土1 建1車1,2房2廳2衛,188,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,15.9,1.44,5.13坪,坡道平面,"1,880,000元",8.93坪,地下一樓
台南市,東區,邰欣地堡70,東區仁和路２５７號七樓之１,邰欣地堡70,"1,450",114/08/17,31.49,46.05,58.51,,1,七層/十三層,住家用,土1 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;急買急賣;,21.5,1.85,6.91坪,坡道平面,,9.29坪,地下二樓
